Location,Data_Value,Deaths
CA,11.2,59962
FL,14.5,45281
TX,14.4,40866
NY,12.8,34491
PA,17,28023
OH,20.5,25164
IL,15.5,23885
MI,18.9,21018
NC,17.4,19671
GA,16.1,17397
NJ,13.1,16011
VA,14.9,15148
TN,20.7,14141
IN,21.1,13479
MO,19.4,13040
WA,12,12791
MA,13.4,12635
AZ,14,12113
WI,16.4,11457
MD,12.5,10927
AL,19.2,10632
SC,18,10365
KY,23.4,10135
MN,15.1,9910
LA,20.5,9382
OK,19.7,8424
OR,15.6,8159
CO,14.5,7812
MS,20.5,6510
AR,22.7,6491
CT,12.2,6472
IA,16.6,6427
KS,17.2,5607
NV,15.7,5195
WV,25.2,4682
NM,15.2,3672
NE,16,3516
ME,17.8,3275
UT,9,3264
ID,14.7,3049
NH,15.6,2711
HI,13.4,2405
RI,14.6,2176
DE,16.5,2101
MT,18,2038
SD,19,1632
VT,13.7,1388
ND,19.1,1320
WY,18.8,997
AK,19.1,957
