country,year,children_per_woman_total_fertility,government_health_spending_per_person_us,life_expectancy_years
Solomon Islands,1995,5.2,43.9,61
South Africa,1995,3.11,107,64.4
Spain,1995,1.21,814,78
Sri Lanka,1995,2.29,11.5,70.7
St. Lucia,1995,2.89,116,71.7
St. Vincent and the Grenadines,1995,2.7,93.2,71.4
Sudan,1995,5.83,2.08,61.2
Suriname,1995,3.01,42.6,69.9
Sweden,1995,1.73,1980,78.9
Switzerland,1995,1.52,2290,78.8
Syria,1995,4.51,20.5,70.6
Tajikistan,1995,4.59,1.27,65.1
Tanzania,1995,5.88,2.69,52.8
Thailand,1995,1.87,46.8,70.3
Timor-Leste,1995,6.38,31.3,62.3
Togo,1995,5.76,5.99,57.4
Tonga,1995,4.45,56.4,70.6
Trinidad and Tobago,1995,1.96,94.3,69.8
Tunisia,1995,2.61,64.1,73.1
Turkey,1995,2.76,67.2,70.3
Turkmenistan,1995,3.51,26,64.8
Uganda,1995,7.02,4.47,46.9
Ukraine,1995,1.41,30,66.7
United Arab Emirates,1995,3.42,583,72.1
United Kingdom,1995,1.76,1140,76.7
United States,1995,1.98,1680,75.9
Uruguay,1995,2.4,410,73.5
Uzbekistan,1995,3.53,15.8,67.7
Vanuatu,1995,4.73,31.7,63
Venezuela,1995,3.08,61.2,72.4
Vietnam,1995,2.71,4.92,70.2
Yemen,1995,7.53,12.4,60.9
Zambia,1995,6.19,13.2,46.1
Albania,1996,2.51,17.1,74.4
Algeria,1996,3.21,48,73.3
Angola,1996,6.85,8.72,50.1
Antigua and Barbuda,1996,2.25,227,74.2
Argentina,1996,2.71,357,73.3
Armenia,1996,1.8,8.16,70.3
Australia,1996,1.81,1150,78.3
Austria,1996,1.45,2050,77.1
Azerbaijan,1996,2.45,6.02,65.3
Bahamas,1996,2.44,353,70.5
Bahrain,1996,3.01,336,71.2
Bangladesh,1996,3.6,24.4,62.9
Barbados,1996,1.73,318,74.4
Belarus,1996,1.4,66.5,68.6
Belgium,1996,1.61,1680,77.2
Belize,1996,4.01,58,71.5
Benin,1996,6.28,8.24,56.8
Bhutan,1996,4.4,19.2,63.9
Bolivia,1996,4.47,28.8,64.2
Bosnia and Herzegovina,1996,1.69,41.5,73.4
Botswana,1996,3.84,65.6,59
Brazil,1996,2.49,142,69.7
Brunei,1996,2.78,519,72.7
Bulgaria,1996,1.28,38.5,71
Burkina Faso,1996,6.8,4.55,50.3
Burundi,1996,7.24,2.87,43.9
Cambodia,1996,4.5,7.43,58.8
Cameroon,1996,5.89,5.97,55.9
Canada,1996,1.61,1290,78.2
Cape Verde,1996,4.38,47.3,70.4
Central African Republic,1996,5.59,3.48,45
Chad,1996,7.43,4.55,52.7
Chile,1996,2.27,142,75.4
China,1996,1.57,12.3,70.4
Colombia,1996,2.6,149,72.3
Comoros,1996,5.25,12.3,59.3
"Congo, Dem. Rep.",1996,7.15,0.14,51.8
"Congo, Rep.",1996,5.13,15.5,52
