country,year,children_per_woman_total_fertility,government_health_spending_per_person_us,life_expectancy_years
Algeria,1999,2.64,45.5,73.9
Angola,1999,6.68,6.55,50.7
Antigua and Barbuda,1999,2.32,278,74.6
Argentina,1999,2.59,400,73.6
Armenia,1999,1.4,9.63,71.9
Australia,1999,1.76,1190,79.3
Austria,1999,1.34,2050,78
Azerbaijan,1999,2.11,5.62,66.3
Bahamas,1999,2.17,497,71.1
Bahrain,1999,2.81,343,72.4
Bangladesh,1999,3.23,22.3,65.2
Barbados,1999,1.74,372,74.7
Belarus,1999,1.26,56.6,68
Belgium,1999,1.62,1500,77.7
Belize,1999,3.7,61,70.4
Benin,1999,6.04,8.3,57.4
Bhutan,1999,3.8,38.2,65.9
Bolivia,1999,4.16,36.7,65.9
Bosnia and Herzegovina,1999,1.56,61.9,75.2
Botswana,1999,3.49,75.5,55.3
Brazil,1999,2.37,103,71
Brunei,1999,2.36,458,73.7
Bulgaria,1999,1.18,63.9,71.5
Burkina Faso,1999,6.65,5.47,51.9
Burundi,1999,7.07,2.08,44.6
Cambodia,1999,3.97,3.23,59.8
Cameroon,1999,5.65,5.45,55.1
Canada,1999,1.54,1360,78.9
Cape Verde,1999,3.91,46,70.7
Central African Republic,1999,5.52,3.9,44.4
Chad,1999,7.38,3.84,52.3
Chile,1999,2.14,158,76.3
China,1999,1.49,15.8,71.7
Colombia,1999,2.43,157,73.9
Comoros,1999,5.31,7.98,61.3
"Congo, Dem. Rep.",1999,7.02,0.659,53.4
"Congo, Rep.",1999,5.11,13.5,51.9
Costa Rica,1999,2.46,195,77.3
Cote d'Ivoire,1999,5.78,9.9,52
Croatia,1999,1.47,325,74
Cuba,1999,1.63,139,76.4
Cyprus,1999,1.78,333,76.7
Czech Republic,1999,1.13,347,74.8
Denmark,1999,1.74,2460,76.3
Djibouti,1999,4.62,33.2,60.4
Dominican Republic,1999,2.93,50.7,73.6
Ecuador,1999,3.09,25.6,73.9
Egypt,1999,3.29,29.4,68.2
El Salvador,1999,3.14,72.9,71.8
Equatorial Guinea,1999,5.88,18.2,54.1
Eritrea,1999,5.43,3.88,43.4
Estonia,1999,1.31,196,70.6
Eswatini,1999,4.28,44.3,50.4
Ethiopia,1999,6.66,2.1,50.3
Fiji,1999,3.13,60.3,65.9
Finland,1999,1.73,1330,77.6
France,1999,1.79,1950,78.8
Gabon,1999,4.63,41.1,59.7
Gambia,1999,5.97,6.89,61.5
Georgia,1999,1.64,6.65,73
Germany,1999,1.35,2150,78
Ghana,1999,4.9,10.3,59.4
Greece,1999,1.33,595,78.6
Grenada,1999,2.67,139,73.6
Guatemala,1999,4.7,39,68.1
Guinea,1999,6.15,4.35,54.5
Guinea-Bissau,1999,5.91,2.69,50.9
Guyana,1999,3.04,33.9,66.7
Haiti,1999,4.43,8.17,56.8
Hungary,1999,1.33,250,71
Iceland,1999,2.02,2680,79.8
India,1999,3.38,5.1,62.6
Indonesia,1999,2.52,5.25,67
Iran,1999,2.36,75.3,73.3
Ireland,1999,1.94,1170,76.3
Israel,1999,2.92,873,78.5
Italy,1999,1.24,1160,79.2
Jamaica,1999,2.62,81.3,73.7
Japan,1999,1.34,2100,81
Jordan,1999,4.13,85.6,72.4
Kazakhstan,1999,1.94,25.7,66
Kenya,1999,5.24,7.08,55.8
Kiribati,1999,4.11,72.2,59.2
Kuwait,1999,2.89,473,78.6
Kyrgyz Republic,1999,2.76,7.41,66.7
Lao,1999,4.51,3.21,56.5
Latvia,1999,1.17,115,70.2
Lebanon,1999,2.31,143,75.1
Lesotho,1999,4.2,13.4,50.5
Libya,1999,2.98,108,73.2
Lithuania,1999,1.38,145,72.2
Luxembourg,1999,1.71,2580,77.7
Madagascar,1999,5.65,4.88,58.6
Malawi,1999,6.2,3.7,44.3
Malaysia,1999,2.91,62.9,72.6
Maldives,1999,3.16,81.9,71.4
Mali,1999,6.92,4.87,52.9
Malta,1999,1.75,459,78.3
Mauritania,1999,5.51,18.7,63.1
Mauritius,1999,2.01,68.2,71.8
"Micronesia, Fed. Sts.",1999,4.39,146,65.4
Moldova,1999,1.53,8.16,68.6
Mongolia,1999,2.22,14.7,61.6
Montenegro,1999,1.89,71.6,73.8
Morocco,1999,2.85,16.1,68.9
Mozambique,1999,5.83,9.12,50.6
Myanmar,1999,2.93,0.27,58.3
Namibia,1999,4.12,93.5,55.7
Nepal,1999,4.18,2.1,65.1
Netherlands,1999,1.65,1320,78
New Zealand,1999,2,894,77.9
Niger,1999,7.69,3.08,51.3
Nigeria,1999,6.13,4.7,55.2
North Macedonia,1999,1.77,98.1,73.8
Norway,1999,1.85,2750,78.5
Oman,1999,3.99,199,72.7
Pakistan,1999,4.73,2.97,61.7
Panama,1999,2.77,180,77
Papua New Guinea,1999,4.57,22.1,56
Paraguay,1999,3.68,48.6,74.5
Peru,1999,2.99,55.7,74.2
Philippines,1999,3.85,15.7,69.5
Poland,1999,1.41,179,73.2
Portugal,1999,1.46,666,76.3
Qatar,1999,3.33,424,73.5
Romania,1999,1.31,53.9,70.7
Russia,1999,1.16,47.7,66.2
Rwanda,1999,5.74,5.05,49
Samoa,1999,4.54,62.8,71.6
Sao Tome and Principe,1999,5.33,20.5,64.2
Saudi Arabia,1999,4.14,231,74.5
Senegal,1999,5.57,8.96,60.1
Serbia,1999,1.79,89.9,69.4
Seychelles,1999,2.16,356,71.4
Sierra Leone,1999,6.39,3.05,49.2
Singapore,1999,1.47,332,79
Slovak Republic,1999,1.31,196,73.1
Slovenia,1999,1.21,664,75.6
Solomon Islands,1999,4.79,43,61.5
South Africa,1999,2.87,108,57.7
Spain,1999,1.21,816,78.9
Sri Lanka,1999,2.24,14.4,71.6
St. Lucia,1999,2.35,138,73.3
St. Vincent and the Grenadines,1999,2.44,106,71.1
Sudan,1999,5.54,2.4,62.8
Suriname,1999,2.9,77.5,69.6
Sweden,1999,1.51,2050,79.6
Switzerland,1999,1.45,2110,80.1
Syria,1999,4.14,22.5,71.9
Tajikistan,1999,4.05,1.85,67.5
Tanzania,1999,5.71,3.83,53.1
Thailand,1999,1.71,37.7,71.3
Timor-Leste,1999,7.08,22.2,58.5
Togo,1999,5.46,5.01,57
Tonga,1999,4.27,75.2,70.7
Trinidad and Tobago,1999,1.77,100,69.8
Tunisia,1999,2.21,66.2,73.9
Turkey,1999,2.56,114,72.3
Turkmenistan,1999,2.9,20.7,65.9
Uganda,1999,6.9,4.91,48.6
Ukraine,1999,1.17,18.8,68.4
United Arab Emirates,1999,2.77,559,71.9
United Kingdom,1999,1.69,1420,77.6
United States,1999,2.01,1920,76.8
Uruguay,1999,2.27,461,74.2
Uzbekistan,1999,2.87,19.6,67.4
Vanuatu,1999,4.46,39,62.8
Venezuela,1999,2.87,85.8,70.1
Vietnam,1999,2.1,6.32,71.3
Yemen,1999,6.51,10.8,62.8
Zambia,1999,6.07,9.02,45.6
Albania,2000,2.16,27.2,74.9
Algeria,2000,2.51,45.9,74
Angola,2000,6.64,12.5,51.7
Antigua and Barbuda,2000,2.32,281,74.7
Argentina,2000,2.56,382,74.2
Armenia,2000,1.3,7.07,72.3
Australia,2000,1.76,1150,79.5
Austria,2000,1.37,1820,78.3
Azerbaijan,2000,2.03,5.64,66.8
Bahamas,2000,2.07,523,71.5
Bahrain,2000,2.77,336,72.6
Bangladesh,2000,3.12,24.2,65.5
Barbados,2000,1.74,396,74.8
Belarus,2000,1.24,47.9,68.8
Belgium,2000,1.63,1380,77.8
Belize,2000,3.6,69.5,70.3
Benin,2000,5.96,6.94,57.5
Bhutan,2000,3.6,40.9,65.7
Bolivia,2000,4.06,36.9,66.5
Bosnia and Herzegovina,2000,1.5,60.9,75.3
Botswana,2000,3.39,94.4,54
Brazil,2000,2.3,107,71.4
Brunei,2000,2.22,477,73.8
Bulgaria,2000,1.18,59.5,71.6
Burkina Faso,2000,6.59,4.32,52.4
Burundi,2000,7.01,2.01,44.9
Cambodia,2000,3.81,3.81,60.2
Cameroon,2000,5.58,5.53,54.8
Canada,2000,1.52,1470,79.2
Cape Verde,2000,3.76,42,71.2
Central African Republic,2000,5.5,4.13,44.3
Chad,2000,7.35,4.49,52.1
Chile,2000,2.11,169,76.9
China,2000,1.5,16.6,72.1
Colombia,2000,2.39,131,74.1
Comoros,2000,5.32,5.47,61.6
"Congo, Dem. Rep.",2000,6.96,0.543,53.8
"Congo, Rep.",2000,5.1,12.5,52.8
Costa Rica,2000,2.37,204,77.9
Cote d'Ivoire,2000,5.71,8.35,52.3
Croatia,2000,1.44,325,74.5
Cuba,2000,1.62,151,76.8
Cyprus,2000,1.72,310,76.8
Czech Republic,2000,1.12,326,75
Denmark,2000,1.77,2190,77
Djibouti,2000,4.48,29.6,60.5
Dominican Republic,2000,2.89,60.4,73.9
Ecuador,2000,3.03,16.7,74.2
Egypt,2000,3.23,31.8,68.7
El Salvador,2000,3.02,79.8,72.4
Equatorial Guinea,2000,5.83,21.5,55.6
Eritrea,2000,5.33,4.33,53.3
Estonia,2000,1.32,169,71
Eswatini,2000,4.19,42.4,48.3
Ethiopia,2000,6.53,2.85,50.8
Fiji,2000,3.09,67.1,65.9
Finland,2000,1.73,1210,77.8
France,2000,1.82,1750,79.1
Gabon,2000,4.54,43,59.3
Gambia,2000,5.95,6.34,61.7
Georgia,2000,1.61,7.61,73.1
Germany,2000,1.35,1900,78.3
Ghana,2000,4.83,6,59.4
Greece,2000,1.32,550,78.8
Grenada,2000,2.58,177,73.9
Guatemala,2000,4.6,37.7,68
Guinea,2000,6.08,3.93,54.4
Guinea-Bissau,2000,5.82,1.74,52
Guyana,2000,3.02,44.8,66.2
Haiti,2000,4.3,7.12,57.4
Hungary,2000,1.31,231,71.8
Iceland,2000,2.01,2470,80.1
India,2000,3.31,5.08,62.9
Indonesia,2000,2.51,5.47,67.3
Iran,2000,2.21,96.2,73.6
Ireland,2000,1.95,1170,76.6
Israel,2000,2.92,932,78.7
Italy,2000,1.25,1130,79.6
Jamaica,2000,2.58,99.7,74
Japan,2000,1.32,2290,81.4
Jordan,2000,4.03,81.3,72.8
Kazakhstan,2000,1.92,25.9,65.5
Kenya,2000,5.18,8.81,55.6
Kiribati,2000,4.06,60.9,59.3
Kuwait,2000,2.85,370,78.6
Kyrgyz Republic,2000,2.66,5.73,66.9
Lao,2000,4.31,3.8,57.1
Latvia,2000,1.18,107,70.7
Lebanon,2000,2.23,148,75.4
Lesotho,2000,4.09,13.6,48.9
Libya,2000,2.86,124,73.2
Lithuania,2000,1.34,148,72.3
Luxembourg,2000,1.7,2960,78
Madagascar,2000,5.55,6.23,58.9
Malawi,2000,6.15,4.31,44.6
Malaysia,2000,2.78,73.5,72.8
Maldives,2000,2.94,94.8,72.3
Mali,2000,6.9,4.87,53.3
Malta,2000,1.67,466,78.5
Mauritania,2000,5.45,16.1,63.5
Mauritius,2000,1.99,75.5,72.2
"Micronesia, Fed. Sts.",2000,4.3,160,65.2
Moldova,2000,1.44,11.4,68.6
Mongolia,2000,2.14,17.7,62
Montenegro,2000,1.88,80.7,73.9
Morocco,2000,2.78,15.8,69.3
Mozambique,2000,5.82,10.2,50.5
Myanmar,2000,2.91,0.45,58.7
Namibia,2000,4.02,86.9,54.5
Nepal,2000,4.03,2.48,65.7
Netherlands,2000,1.72,1210,78.1
New Zealand,2000,1.98,820,78.3
Niger,2000,7.68,2.32,51.8
Nigeria,2000,6.11,5.72,55.2
North Macedonia,2000,1.72,90.1,73.9
Norway,2000,1.85,2600,78.6
Oman,2000,3.72,216,73
Pakistan,2000,4.58,3.16,61.9
Panama,2000,2.74,208,77.4
Papua New Guinea,2000,4.53,21.2,56
Paraguay,2000,3.55,49.5,74.5
Peru,2000,2.93,56.8,74.7
Philippines,2000,3.81,16,69.3
Poland,2000,1.35,173,73.9
Portugal,2000,1.46,704,76.7
Qatar,2000,3.24,473,74.1
Romania,2000,1.31,58.6,71.1
Russia,2000,1.2,57.5,65.5
Rwanda,2000,5.64,3.54,49.6
Samoa,2000,4.5,60.6,71.7
Sao Tome and Principe,2000,5.28,19.6,64.6
Saudi Arabia,2000,3.97,287,74.7
Senegal,2000,5.47,7.85,60.6
Serbia,2000,1.77,42,72.1
Seychelles,2000,2.15,311,71.5
Sierra Leone,2000,6.32,3.18,50.9
Singapore,2000,1.6,298,79.3
Slovak Republic,2000,1.27,186,73.5
Slovenia,2000,1.21,614,76
Solomon Islands,2000,4.72,45.8,61.5
South Africa,2000,2.83,102,55.6
Spain,2000,1.23,745,79.4
Sri Lanka,2000,2.24,15.8,71.6
St. Lucia,2000,2.2,143,73.8
St. Vincent and the Grenadines,2000,2.38,113,71.2
Sudan,2000,5.47,3.32,63.4
Suriname,2000,2.86,74,69.5
Sweden,2000,1.56,1940,79.8
Switzerland,2000,1.44,1950,80.1
Syria,2000,4.04,23.9,72.5
Tajikistan,2000,3.91,1.32,67.8
Tanzania,2000,5.69,4.38,53.5
Thailand,2000,1.67,37,71.8
Timor-Leste,2000,7.11,23.9,65.3
Togo,2000,5.41,4.08,56.9
Tonga,2000,4.25,64.5,70.7
Trinidad and Tobago,2000,1.75,106,70.4
Tunisia,2000,2.14,67.2,74.3
Turkey,2000,2.5,129,74.1
Turkmenistan,2000,2.82,35.9,66.7
Uganda,2000,6.87,4.19,49.1
Ukraine,2000,1.15,18.5,68
United Arab Emirates,2000,2.64,577,71.8
United Kingdom,2000,1.68,1390,78
United States,2000,2.05,2030,76.9
Uruguay,2000,2.24,422,74.6
Uzbekistan,2000,2.74,14,67.3
Vanuatu,2000,4.37,40.2,63.4
Venezuela,2000,2.82,114,74
Vietnam,2000,2.01,6.47,71.5
Yemen,2000,6.31,13.6,63.3
Zambia,2000,6.04,9.23,46
Albania,2001,2.07,30.5,75.2
Algeria,2001,2.44,52.5,74.2
Angola,2001,6.6,18.3,52.4
Antigua and Barbuda,2001,2.31,266,74.9
Argentina,2001,2.54,367,74.3
Armenia,2001,1.2,11,72.6
Australia,2001,1.76,1080,80
Austria,2001,1.33,1820,78.7
Azerbaijan,2001,1.96,5.9,67.2
Bahamas,2001,1.99,524,71.6
Bahrain,2001,2.72,354,73.7
Bangladesh,2001,3.01,27.1,66.1
Barbados,2001,1.75,429,75.3
Belarus,2001,1.24,58.5,68.3
Belgium,2001,1.65,1410,78.1
Belize,2001,3.5,88,70.9
Benin,2001,5.89,8.58,57.7
Bhutan,2001,3.42,39.3,67.1
Bolivia,2001,3.96,36,67.2
Bosnia and Herzegovina,2001,1.43,67.1,75.5
Botswana,2001,3.29,126,52.8
Brazil,2001,2.23,96.3,71.8
Brunei,2001,2.12,432,74
Bulgaria,2001,1.19,75.5,71.9
Burkina Faso,2001,6.53,4.11,52.8
Burundi,2001,6.95,2.3,45.7
Cambodia,2001,3.65,5.27,60.8
Cameroon,2001,5.52,6.78,54.7
Canada,2001,1.52,1500,79.5
Cape Verde,2001,3.62,48.2,71.5
Central African Republic,2001,5.48,3.82,44.3
Chad,2001,7.32,4.81,52.3
Chile,2001,2.07,159,76.8
China,2001,1.51,16.8,72.6
Colombia,2001,2.35,125,74.3
Comoros,2001,5.31,4.17,62.5
"Congo, Dem. Rep.",2001,6.91,0.31,54.1
"Congo, Rep.",2001,5.09,11.6,53.6
Costa Rica,2001,2.29,220,78
Cote d'Ivoire,2001,5.65,5.98,52.7
Croatia,2001,1.42,313,74.8
Cuba,2001,1.61,161,77.1
Cyprus,2001,1.66,329,77
Czech Republic,2001,1.14,363,75.3
Denmark,2001,1.75,2300,77.2
Djibouti,2001,4.36,26.9,60.8
Dominican Republic,2001,2.86,54.1,74
Ecuador,2001,2.97,27,74.8
Egypt,2001,3.18,30.7,68.5
El Salvador,2001,2.9,82.3,72.3
Equatorial Guinea,2001,5.79,38.6,57.3
Eritrea,2001,5.23,4.83,54.5
Estonia,2001,1.34,174,70.8
Eswatini,2001,4.11,36.6,46.5
Ethiopia,2001,6.38,3.23,53
Fiji,2001,3.05,53.5,66.3
Finland,2001,1.73,1280,78.2
France,2001,1.84,1770,79.2
Gabon,2001,4.46,44.8,59
Gambia,2001,5.93,6.81,61.9
Georgia,2001,1.59,9.54,73
Germany,2001,1.35,1900,78.6
Ghana,2001,4.75,8.65,59.4
Greece,2001,1.33,640,79
Grenada,2001,2.51,231,74.1
Guatemala,2001,4.49,38.8,68.6
Guinea,2001,6.02,4.31,54.8
Guinea-Bissau,2001,5.73,1.49,52.3
Guyana,2001,2.99,43.4,66.2
Haiti,2001,4.18,5.88,57.9
Hungary,2001,1.29,259,72.4
Iceland,2001,2,2180,80.4
India,2001,3.24,4.99,63.3
Indonesia,2001,2.51,7.15,67.6
Iran,2001,2.09,128,73.7
Ireland,2001,1.96,1390,77.2
Israel,2001,2.92,950,78.9
Italy,2001,1.27,1200,79.8
Jamaica,2001,2.53,77.3,74.2
Japan,2001,1.31,2080,81.7
Jordan,2001,3.95,87.5,73.1
Kazakhstan,2001,1.94,29.2,65.5
Kenya,2001,5.11,8.37,55.7
Kiribati,2001,4.02,62.6,59.5
Kuwait,2001,2.77,510,79.3
Kyrgyz Republic,2001,2.58,6.03,67
Lao,2001,4.14,3.61,57.6
Latvia,2001,1.21,110,70.2
Lebanon,2001,2.13,162,75.7
Lesotho,2001,3.97,15.5,47.7
Libya,2001,2.75,143,73.3
Lithuania,2001,1.31,160,71.8
Luxembourg,2001,1.68,2850,78.3
Madagascar,2001,5.45,7.58,59.6
Malawi,2001,6.1,3.3,44.9
Malaysia,2001,2.66,84.3,73.2
Maldives,2001,2.77,88.5,73
Mali,2001,6.88,7.45,54
Malta,2001,1.6,468,78.7
Mauritania,2001,5.39,11.7,63.9
Mauritius,2001,1.96,75.3,72.4
"Micronesia, Fed. Sts.",2001,4.2,179,65.9
Moldova,2001,1.35,13.1,68.9
Mongolia,2001,2.1,19.9,62.4
Montenegro,2001,1.87,110,74
Morocco,2001,2.72,18.5,69.7
Mozambique,2001,5.81,8.65,50.6
Myanmar,2001,2.89,0.31,59.1
Namibia,2001,3.93,63.6,53.9
Nepal,2001,3.88,3.55,66.4
Netherlands,2001,1.71,1300,78.3
New Zealand,2001,1.96,804,78.6
Niger,2001,7.67,2.99,52.4
Nigeria,2001,6.08,5.7,55.4
North Macedonia,2001,1.68,85.2,73.7
Norway,2001,1.78,2790,78.8
Oman,2001,3.48,216,73.4
Pakistan,2001,4.44,2.67,62.1
Panama,2001,2.72,203,77.7
Papua New Guinea,2001,4.48,20.9,55.9
Paraguay,2001,3.43,37.3,74.8
Peru,2001,2.87,55.8,75.6
Philippines,2001,3.77,12.8,69.2
Poland,2001,1.31,210,74.3
Portugal,2001,1.46,716,77
Qatar,2001,3.12,554,74.9
Romania,2001,1.31,64.2,71.1
Russia,2001,1.22,69.8,65.5
Rwanda,2001,5.54,4.22,50.8
Samoa,2001,4.48,58.3,71.8
Sao Tome and Principe,2001,5.23,19.1,65
Saudi Arabia,2001,3.83,288,74.8
Senegal,2001,5.39,8.4,61.2
Serbia,2001,1.74,78.8,72.4
Seychelles,2001,2.16,309,71.7
Sierra Leone,2001,6.24,4,51.4
Singapore,2001,1.41,273,79.6
Slovak Republic,2001,1.24,193,73.7
Slovenia,2001,1.21,646,76.2
Solomon Islands,2001,4.67,58.7,61.3
South Africa,2001,2.79,90.5,54.9
Spain,2001,1.25,771,79.7
Sri Lanka,2001,2.25,14.3,72.7
St. Lucia,2001,2.06,151,74.1
St. Vincent and the Grenadines,2001,2.32,118,71.7
Sudan,2001,5.4,3.72,63.8
Suriname,2001,2.82,62.6,69.5
Sweden,2001,1.58,1840,79.8
Switzerland,2001,1.43,2110,80.5
Syria,2001,3.94,25.5,73.2
Tajikistan,2001,3.78,1.65,68.2
Tanzania,2001,5.68,4.77,54.1
Thailand,2001,1.64,33.8,72.6
Timor-Leste,2001,7.09,25.5,65.8
Togo,2001,5.36,3.33,56.7
Tonga,2001,4.24,72.6,70.7
Trinidad and Tobago,2001,1.74,133,70.6
Tunisia,2001,2.09,65.5,74.6
Turkey,2001,2.45,105,74.8
Turkmenistan,2001,2.77,42.9,67.1
Uganda,2001,6.82,4.64,50
Ukraine,2001,1.14,24.1,68.3
United Arab Emirates,2001,2.53,638,71.8
United Kingdom,2001,1.67,1440,78.2
United States,2001,2.03,2230,76.9
Uruguay,2001,2.22,380,74.9
Uzbekistan,2001,2.64,11.8,67.3
Vanuatu,2001,4.27,38,63.3
Venezuela,2001,2.78,120,74
Vietnam,2001,1.95,7.21,71.7
Yemen,2001,6.13,14.3,63.9
Zambia,2001,6,11.7,46.1
Albania,2002,1.98,32.5,75.3
Algeria,2002,2.4,54.1,74.5
Angola,2002,6.57,14.3,53.5
Antigua and Barbuda,2002,2.29,267,75.2
Argentina,2002,2.52,121,74.2
Armenia,2002,1.2,10.6,72.7
Australia,2002,1.78,1240,80.2
Austria,2002,1.39,1950,78.9
Azerbaijan,2002,1.91,5.96,67.3
Bahamas,2002,1.93,556,72.4
Bahrain,2002,2.67,386,74.2
Bangladesh,2002,2.91,29.4,66.5
Barbados,2002,1.75,459,75.3
Belarus,2002,1.24,66.8,67.8
Belgium,2002,1.68,1530,78.3
Belize,2002,3.39,87.2,71.3
Benin,2002,5.82,7.64,58.1
Bhutan,2002,3.24,58.5,67.8
Bolivia,2002,3.87,37.5,67.6
Bosnia and Herzegovina,2002,1.37,78.8,75.5
Botswana,2002,3.19,145,51.9
Brazil,2002,2.16,90.7,72.1
Brunei,2002,2.03,439,74.2
Bulgaria,2002,1.22,94.3,72.2
Burkina Faso,2002,6.47,5.56,53.4
Burundi,2002,6.89,2.01,46.6
Cambodia,2002,3.52,6.58,61.5
Cameroon,2002,5.48,8.56,54.6
Canada,2002,1.52,1560,79.6
Cape Verde,2002,3.48,51.9,71.7
Central African Republic,2002,5.46,4.39,44.4
Chad,2002,7.27,5.59,52.5
Chile,2002,2.05,157,77.3
China,2002,1.52,19.4,73
Colombia,2002,2.31,123,73.3
Comoros,2002,5.3,6.95,62.9
"Congo, Dem. Rep.",2002,6.86,0.27,54.3
"Congo, Rep.",2002,5.08,11.8,54.3
Costa Rica,2002,2.22,236,78.3
Cote d'Ivoire,2002,5.58,6.93,52.9
Croatia,2002,1.39,300,74.9
Cuba,2002,1.59,172,77.8
Cyprus,2002,1.61,399,77.2
Czech Republic,2002,1.17,473,75.5
Denmark,2002,1.72,2550,77.2
Djibouti,2002,4.24,27.4,60.9
Dominican Republic,2002,2.84,57.5,74.1
Ecuador,2002,2.91,36.3,74.3
Egypt,2002,3.13,29.6,68.4
El Salvador,2002,2.79,85.5,73.1
Equatorial Guinea,2002,5.73,114,58.6
Eritrea,2002,5.15,3.68,55
Estonia,2002,1.38,201,71.3
Eswatini,2002,4.04,34.5,45.4
Ethiopia,2002,6.22,2.87,53.9
Fiji,2002,3,64.4,66.6
Finland,2002,1.72,1470,78.5
France,2002,1.87,1980,79.4
Gabon,2002,4.39,44.4,59
Gambia,2002,5.91,5.91,62
Georgia,2002,1.59,10.3,72.4
Germany,2002,1.35,2060,78.7
Ghana,2002,4.68,7.24,59.5
Greece,2002,1.34,708,79.2
Grenada,2002,2.46,187,74.2
Guatemala,2002,4.37,38.6,69.3
Guinea,2002,5.95,4.56,55.2
Guinea-Bissau,2002,5.64,3.96,52.6
Guyana,2002,2.96,46.1,66.2
Haiti,2002,4.07,4.29,58.5
Hungary,2002,1.29,348,72.5
Iceland,2002,2.01,2660,80.8
India,2002,3.18,4.88,63.9
Indonesia,2002,2.51,7.61,67.8
Iran,2002,2,44.8,73.8
Ireland,2002,1.96,1680,77.7
Israel,2002,2.91,865,78.7
Italy,2002,1.29,1330,80.1
Jamaica,2002,2.48,103,75
Japan,2002,1.3,1990,82
Jordan,2002,3.88,92.9,73.4
Kazakhstan,2002,1.99,32,65.5
Kenya,2002,5.04,7.76,55.8
Kiribati,2002,3.98,71,59.6
Kuwait,2002,2.69,524,79.4
Kyrgyz Republic,2002,2.54,6.9,67
Lao,2002,3.98,3.46,58.4
Latvia,2002,1.25,129,70.5
Lebanon,2002,2.04,186,75.9
Lesotho,2002,3.86,12.5,46.5
Libya,2002,2.67,118,73.4
Lithuania,2002,1.29,197,72.2
Luxembourg,2002,1.67,3580,78.4
Madagascar,2002,5.34,6.95,59.8
Malawi,2002,6.05,6.56,45.3
Malaysia,2002,2.54,89.3,73.4
Maldives,2002,2.63,87.7,73.8
Mali,2002,6.86,6.75,54.5
Malta,2002,1.53,584,79
Mauritania,2002,5.34,16.2,64.4
Mauritius,2002,1.94,85.1,72.4
"Micronesia, Fed. Sts.",2002,4.11,166,65.1
Moldova,2002,1.29,18.5,69.1
Mongolia,2002,2.08,21.5,62.8
Montenegro,2002,1.86,120,74.2
Morocco,2002,2.68,18.9,70
Mozambique,2002,5.8,9.82,50.5
Myanmar,2002,2.87,0.46,59.6
Namibia,2002,3.84,60.9,53.1
Nepal,2002,3.72,3.58,66.5
Netherlands,2002,1.73,1500,78.4
New Zealand,2002,1.95,969,78.7
Niger,2002,7.66,3.37,53.2
Nigeria,2002,6.06,4.55,55.7
North Macedonia,2002,1.64,103,73.9
Norway,2002,1.75,3460,79
Oman,2002,3.29,232,73.7
Pakistan,2002,4.31,4.17,62.3
Panama,2002,2.7,222,77.8
Papua New Guinea,2002,4.42,19.2,55.8
Paraguay,2002,3.32,26,74.9
Peru,2002,2.82,59.2,76
Philippines,2002,3.71,11.3,69.1
Poland,2002,1.28,234,74.7
Portugal,2002,1.45,805,77.3
Qatar,2002,3,632,75.5
Romania,2002,1.32,79.6,71.1
Russia,2002,1.29,83.7,65.3
Rwanda,2002,5.45,4.21,52.3
Samoa,2002,4.46,65.4,72
Sao Tome and Principe,2002,5.17,21.4,65.3
Saudi Arabia,2002,3.71,272,74.7
Senegal,2002,5.31,10.4,61.5
Serbia,2002,1.72,130,72.5
Seychelles,2002,2.18,330,71.9
Sierra Leone,2002,6.16,4.48,51.5
Singapore,2002,1.37,241,80
Slovak Republic,2002,1.23,228,73.9
Slovenia,2002,1.22,734,76.5
Solomon Islands,2002,4.62,46,61.2
South Africa,2002,2.76,81.5,53.8
Spain,2002,1.28,859,79.8
Sri Lanka,2002,2.26,14.8,73.6
St. Lucia,2002,1.93,151,74.1
St. Vincent and the Grenadines,2002,2.27,138,71.7
Sudan,2002,5.33,4.22,64
Suriname,2002,2.78,79.9,69.4
Sweden,2002,1.67,2110,80
Switzerland,2002,1.42,2390,80.7
Syria,2002,3.84,26.2,73.6
Tajikistan,2002,3.68,1.76,68.5
Tanzania,2002,5.67,4.61,54.8
Thailand,2002,1.62,46.1,73
Timor-Leste,2002,7.04,24.4,66.1
Togo,2002,5.32,2.64,56.8
Tonga,2002,4.22,69.9,70.7
Trinidad and Tobago,2002,1.74,168,71.1
Tunisia,2002,2.05,67.3,74.8
Turkey,2002,2.4,133,75.4
Turkmenistan,2002,2.73,46,67.1
Uganda,2002,6.77,5.2,50.7
Ukraine,2002,1.15,31,68.2
United Arab Emirates,2002,2.43,578,72.1
United Kingdom,2002,1.67,1640,78.3
United States,2002,2.02,2410,77
Uruguay,2002,2.21,239,74.9
Uzbekistan,2002,2.56,9.26,67.1
Vanuatu,2002,4.16,39.3,63.3
Venezuela,2002,2.74,81.7,74
Vietnam,2002,1.92,6.83,71.9
Yemen,2002,5.95,14.2,64.4
Zambia,2002,5.96,14.7,47
Albania,2003,1.9,40.6,75.4
Algeria,2003,2.41,62.6,74.6
Angola,2003,6.54,19.4,54.2
Antigua and Barbuda,2003,2.27,279,75.4
Argentina,2003,2.5,148,74.3
Armenia,2003,1.4,13.9,72.9
Australia,2003,1.79,1540,80.5
Austria,2003,1.38,2410,79
Azerbaijan,2003,1.87,7.21,67.2
Bahamas,2003,1.89,582,72.9
Bahrain,2003,2.6,428,74.2
Bangladesh,2003,2.8,30.4,66.8
Barbados,2003,1.75,456,75.4
